city,country,max_temp,humidity,cloudiness,wind_speed,lat,lon,date
Safaga,EG,75.2,69,0,6.93,26.73,33.94,1607879922
Flinders,AU,66.0,89,76,1.01,-34.58,150.86,1607879621
Tilichiki,RU,3.65,95,94,6.46,60.47,166.1,1607879722
Fairbanks,US,1.4,70,75,9.17,64.84,-147.72,1607879680
Indianola,US,26.01,79,90,9.17,41.36,-93.56,1607879922
Sur,OM,72.36,48,0,12.66,22.57,59.53,1607879721
Zhezkazgan,KZ,6.89,84,5,3.33,47.8,67.71,1607879923
Ntcheu,MW,70.54,76,91,2.37,-14.82,34.64,1607879923
Yulara,AU,80.6,51,68,4.7,-25.24,130.99,1607879624
Morondava,MG,81.75,78,97,11.41,-20.28,44.28,1607879641
Lompoc,US,54.0,100,1,4.7,34.64,-120.46,1607879580
Nuevo Progreso,MX,82.0,56,28,7.0,23.17,-97.95,1607879923
Lagos,NG,82.4,78,20,5.82,6.58,3.75,1607879923
Dargaville,NZ,57.47,79,88,4.12,-35.93,173.88,1607879923
Banda Aceh,ID,78.53,79,70,3.53,5.56,95.32,1607879691
Oga,IT,33.01,100,0,1.12,46.46,10.35,1607879924
Moa,CU,82.54,67,5,12.21,20.66,-74.94,1607879924
Vila Velha,BR,86.0,62,0,16.11,-20.33,-40.29,1607879548
Nkhata Bay,MW,79.83,63,42,3.44,-11.61,34.29,1607879924
Bathsheba,BB,86.0,70,20,14.99,13.22,-59.52,1607879736
Laas,IT,36.0,80,5,3.36,46.62,10.7,1607879619
Xaçmaz,AZ,43.12,66,36,4.94,41.46,48.81,1607879924
Hirara,JP,70.57,76,48,14.12,24.8,125.28,1607879925
Padang,ID,77.99,67,96,3.18,-0.95,100.35,1607879704
Lichuan,CN,31.44,98,100,5.44,30.3,108.85,1607879925
Nong Kung Si,TH,80.01,99,11,3.51,16.65,103.3,1607879925
Iquique,CL,71.6,60,0,17.22,-20.22,-70.14,1607879736
Hokitika,NZ,51.15,89,0,4.47,-42.72,170.97,1607879925
Oistins,BB,86.0,70,20,14.99,13.07,-59.53,1607879666
Whitehorse,CA,6.8,77,90,16.11,60.72,-135.05,1607879664
Beringovskiy,RU,27.12,98,100,24.74,63.05,179.32,1607879624
Kobryn,BY,31.98,98,100,6.44,52.21,24.36,1607879926
Malakal,SS,85.77,20,0,4.65,9.53,31.66,1607879743
Los Llanos de Aridane,ES,66.2,82,75,4.7,28.66,-17.92,1607879687
Hailar,CN,-15.77,82,1,3.71,49.2,119.7,1607879926
Loikaw,MM,58.15,63,0,3.18,19.67,97.21,1607879926
Yumen,CN,5.92,85,25,3.89,40.28,97.2,1607879740
Vidra,RO,44.01,95,100,5.1,44.26,26.17,1607879926
Merauke,ID,81.03,77,98,3.91,-8.47,140.33,1607879927
Vestmannaeyjar,IS,44.6,81,75,28.86,63.44,-20.27,1607879688
San Matías,BO,95.47,35,62,8.97,-16.37,-58.4,1607879927
Irecê,BR,91.26,22,0,5.37,-11.3,-41.86,1607879927
Armilla,ES,57.0,87,0,1.12,37.14,-3.62,1607879927
Manga,BF,92.93,12,0,4.9,11.66,-1.07,1607879927
Pucara,PE,68.0,34,0,11.41,-15.98,-71.46,1607879927
Camacupa,AO,67.15,93,100,4.41,-12.02,17.48,1607879928
Santiago del Estero,AR,78.87,47,35,24.02,-27.8,-64.26,1607879864
Verkhnyaya Inta,RU,19.17,97,100,16.91,65.98,60.31,1607879662
Nikšić,ME,57.2,77,0,11.41,42.77,18.94,1607879928
Naze,JP,66.2,63,90,6.93,28.37,129.48,1607879660
Finote Selam,ET,63.66,45,3,3.33,10.7,37.27,1607879928
Azuaga,ES,54.0,90,100,3.0,38.27,-5.68,1607879928
Antu,IN,66.47,46,0,6.33,26.05,81.92,1607879928
Mnogovershinnyy,RU,-4.38,92,100,7.49,53.94,139.92,1607879733
Manjeri,IN,80.6,74,40,1.88,11.12,76.12,1607879929
Saint-François,FR,44.01,81,0,4.7,46.42,3.91,1607879929
Vardø,NO,33.8,74,75,16.11,70.37,31.11,1607879711
Khatanga,RU,-10.68,90,100,6.38,71.97,102.5,1607879627
Makkah al Mukarramah,SA,76.86,54,0,4.0,21.43,39.83,1607879652
Luyang,CN,34.02,92,100,12.03,27.62,110.1,1607879929
Ahipara,NZ,57.54,79,79,7.02,-35.17,173.17,1607879641
Cockburn Town,TC,80.04,76,34,15.05,21.46,-71.14,1607879639
Winchester,GB,53.6,93,75,11.41,51.07,-1.32,1607879930
Port Blair,IN,77.86,76,52,4.56,11.67,92.75,1607879633
Boden,SE,30.2,92,90,3.36,65.83,21.69,1607879930
Vanavara,RU,-22.61,87,97,5.01,60.34,102.28,1607879643
Eyl,SO,76.1,63,15,23.24,7.98,49.82,1607879930
Sangmélima,CM,71.91,92,89,2.93,2.93,11.98,1607879930
Vágur,FO,46.04,80,100,36.33,61.47,-6.81,1607879931
Peqin,AL,48.2,66,0,5.82,41.05,19.75,1607879931
Bitung,ID,77.0,94,40,1.12,1.45,125.18,1607879647
Northam,GB,53.01,92,67,10.0,51.03,-4.22,1607879665
Tupik,RU,-24.88,80,0,3.87,54.43,119.93,1607879931
Uray,RU,19.17,95,99,9.53,60.12,64.78,1607879931
Sakhnovshchyna,UA,33.19,94,100,15.1,49.15,35.87,1607879931
Fuxin,CN,5.14,74,0,12.5,42.02,121.66,1607879931
High Level,CA,-34.6,65,40,3.13,58.52,-117.14,1607879932
Honningsvåg,NO,32.0,84,75,9.17,70.98,25.97,1607879636
Sechura,PE,78.39,55,62,12.48,-5.56,-80.82,1607879743
Mogadishu,SO,77.79,78,24,17.36,2.04,45.34,1607879779
Thunder Bay,CA,15.01,85,90,5.82,48.4,-89.32,1607879932
Alice Springs,AU,80.6,65,23,5.82,-23.7,133.88,1607879445
Samarai,PG,80.13,81,29,9.04,-10.62,150.67,1607879648
Sobolevo,RU,31.06,99,100,8.3,54.43,31.9,1607879932
Nishihara,JP,68.0,68,40,4.7,26.18,127.76,1607879668
Great Yarmouth,GB,46.99,93,75,14.99,52.61,1.73,1607879933
Chauk,MM,71.51,58,0,1.21,20.88,94.82,1607879933
Narrabri,AU,69.8,49,90,13.87,-30.32,149.78,1607879933
Kaili,ID,68.81,87,100,3.18,-3.46,120.21,1607879933
Ambilobe,MG,77.67,83,99,2.33,-13.2,49.05,1607879702
Homer,US,42.8,56,90,10.29,59.64,-151.55,1607879620
Itoman,JP,68.0,68,40,4.7,26.12,127.67,1607879610
Härnösand,SE,33.8,100,100,2.24,62.63,17.94,1607879933
Kungurtug,RU,-5.26,83,95,0.56,50.6,97.52,1607879934
Mumford,GH,81.5,80,87,11.1,5.26,-0.76,1607879655
Kédougou,SN,100.4,18,30,6.93,12.56,-12.17,1607879934
Bonito Oriental,HN,84.2,70,20,3.36,15.75,-85.74,1607879934
Stromness,GB,46.4,81,75,28.86,58.97,-3.3,1607879934
Kristiansund,NO,33.8,74,0,13.87,63.11,7.73,1607879934
Nortelândia,BR,89.47,52,24,6.44,-14.45,-56.8,1607879934
Boende,CD,75.88,79,56,1.21,-0.22,20.87,1607879934
Horadiz,AZ,44.6,81,90,1.5,39.45,47.34,1607879935
Ola,RU,-9.44,86,40,15.37,59.58,151.28,1607879935
Terråk,NO,41.0,65,75,12.75,65.09,12.37,1607879935
Khandagayty,RU,-8.88,85,97,1.79,50.73,92.05,1607879935
Porto-Novo,BJ,84.2,66,20,4.7,6.5,2.6,1607879649
Marzuq,YE,56.44,37,0,3.06,14.4,46.47,1607879718
Nuuk,GL,17.6,92,100,13.87,64.18,-51.72,1607879466
Nelson Bay,AU,68.0,77,40,5.82,-32.72,152.15,1607879661
Ol'ga,RU,6.85,79,0,14.0,43.74,135.29,1607879936
Esso,RU,7.12,88,62,3.69,55.93,158.7,1607879744
Alta Floresta,BR,82.18,69,93,3.69,-9.88,-56.09,1607879936
Riverton,US,25.0,85,1,13.87,40.52,-111.94,1607879867
Krasnoarmiys'k,UA,34.47,89,100,13.62,48.28,37.18,1607879936
Rypefjord,NO,30.2,86,75,14.99,70.63,23.67,1607879936
Red Bluff,US,48.99,87,90,5.82,40.18,-122.24,1607879801
Ilebo,CD,73.35,93,96,1.48,-4.32,20.58,1607879936
Ambulu,ID,75.99,91,100,0.87,-8.35,113.61,1607879652
Egvekinot,RU,10.35,91,100,19.28,66.32,-179.17,1607879635
Qaqortoq,GL,26.6,86,75,5.86,60.72,-46.03,1607879655
Urengoy,RU,7.66,94,100,8.52,65.97,78.37,1607879937
Iwanai,JP,23.76,90,100,6.22,42.97,140.51,1607879729
Iturama,BR,91.74,39,83,8.79,-19.73,-50.2,1607879937
Shaoyang,CN,36.77,82,100,9.95,27.23,111.45,1607879937
Serramanna,IT,57.2,76,40,11.41,39.42,8.92,1607879937
Hambantota,LK,77.38,81,95,12.39,6.12,81.12,1607879671
Zheleznodorozhnyy,RU,23.0,79,75,11.18,55.75,38.0,1607879937
Derazhnya,UA,34.41,97,100,6.44,49.27,27.43,1607879938
Jumla,NP,34.7,64,0,5.28,29.27,82.18,1607879938
Goya,AR,88.48,54,100,11.7,-29.14,-59.26,1607879938
Sovetskiy,RU,17.51,97,100,8.05,61.36,63.58,1607879938
Havre-St-Pierre,CA,10.4,85,90,18.34,50.23,-63.6,1607879634
Praia da Vitória,PT,59.0,72,40,21.25,38.73,-27.07,1607879732
Saint-Pierre,RE,73.4,88,75,18.34,-21.34,55.48,1607879477
Kualakapuas,ID,75.2,100,90,4.7,-3.01,114.39,1607879938
Rochegda,RU,15.87,97,44,5.12,62.8,43.25,1607879939
Siilinjärvi,FI,26.6,86,90,5.82,63.08,27.67,1607879939
İdil,TR,46.78,77,100,5.35,37.34,41.89,1607879939
Namtsy,RU,-49.0,56,90,1.88,62.72,129.67,1607879939
Pangkalanbuun,ID,75.78,88,98,2.24,-2.68,111.62,1607879939
Teahupoo,PF,82.0,74,20,2.24,-17.83,-149.27,1607879939
Walvis Bay,NA,64.4,72,75,12.75,-22.96,14.51,1607879672
Kidal,ML,82.49,14,0,8.19,18.44,1.41,1607879745
Córdoba,AR,78.01,35,0,25.28,-31.41,-64.18,1607879907
Yur’yevets,RU,14.36,96,47,10.07,57.32,43.1,1607879940
Villanueva,HN,85.89,58,28,2.26,15.32,-88.0,1607879643
Mossamedes,AO,68.99,74,1,9.37,-15.2,12.15,1607879703
Istiaia,GR,52.0,96,100,5.01,38.96,23.15,1607879940
Apolda,DE,43.0,97,81,6.22,51.02,11.5,1607879940
Deputatsky,RU,-29.58,87,82,1.01,69.3,139.9,1607879714
Owando,CG,79.2,77,57,3.04,-0.48,15.9,1607879941
Rusera,IN,67.98,50,0,7.27,25.75,86.03,1607879941
Dickinson,US,69.01,88,90,8.05,29.46,-95.05,1607879941
Pacific Grove,US,55.0,93,90,9.17,36.62,-121.92,1607879941
Lyuban',BY,31.75,99,100,5.86,52.8,28.0,1607879941
Pelym,RU,18.64,91,98,7.2,61.01,62.0,1607879941
Escanaba,US,24.8,73,90,3.36,45.75,-87.06,1607879941
Manaus,BR,89.6,66,40,3.36,-3.1,-60.02,1607879941
Burmakino,RU,21.2,73,90,8.95,57.42,40.24,1607879942
Laguna,US,50.0,87,90,11.41,38.42,-121.42,1607879639
