city,country,max_temp,humidity,cloudiness,wind_speed,lat,lon,date
Coquimbo,CL,60.8,82,40,16.11,-29.95,-71.34,1607879623
Governador Valadares,BR,84.34,57,93,4.81,-18.85,-41.95,1607879885
Puerto Madryn,AR,71.92,22,5,23.49,-42.77,-65.04,1607879885
Killarney,IE,50.02,88,91,8.93,52.05,-9.52,1607879681
Calderitas,MX,82.4,78,40,11.41,18.55,-88.25,1607879885
Trairi,BR,88.5,51,30,16.22,-3.28,-39.27,1607879521
Pangnirtung,CA,-20.09,75,9,3.71,66.15,-65.71,1607879625
Provideniya,RU,16.65,95,100,23.38,64.38,-173.3,1607879625
Beloha,MG,75.45,67,0,17.4,-25.17,45.05,1607879632
Hofn,IS,44.6,81,90,25.28,64.25,-15.21,1607879633
Mbala,ZM,61.83,96,92,2.35,-8.84,31.37,1607879886
Half Moon Bay,US,55.4,100,90,16.46,37.46,-122.43,1607879674
Ustyuzhna,RU,20.93,97,100,6.58,58.84,36.43,1607879886
Tegul'det,RU,5.99,94,100,8.55,57.31,88.17,1607879886
Arucas,ES,68.0,64,75,10.29,28.12,-15.52,1607879814
Linköping,SE,35.6,100,75,4.7,58.41,15.62,1607879886
Carnarvon,AU,69.8,83,7,20.8,-24.87,113.63,1607879618
Longyearbyen,SJ,19.4,73,75,4.7,78.22,15.64,1607879665
Castro,BR,75.22,80,66,7.78,-24.79,-50.01,1607879327
Zaysan,KZ,-4.27,78,30,1.48,47.47,84.87,1607879887
Anadyr,RU,23.0,73,75,17.9,64.75,177.48,1607879678
Janaúba,BR,84.22,38,0,7.54,-15.8,-43.31,1607879887
Linjiang,CN,5.5,77,97,4.16,41.81,126.91,1607879887
Barrow,US,-4.0,70,1,23.04,71.29,-156.79,1607879630
Hasaki,JP,39.2,100,75,3.36,35.73,140.83,1607879350
Santa Maria,BR,80.6,78,75,6.93,-29.68,-53.81,1607879888
Ribera,IT,48.99,1,28,13.0,37.5,13.26,1607879888
Mar del Plata,AR,62.6,67,40,16.11,-38.0,-57.56,1607879382
Cape Town,ZA,73.0,52,0,9.17,-33.93,18.42,1607879617
Carutapera,BR,86.58,64,36,8.77,-1.2,-46.02,1607879888
Bandarbeyla,SO,75.42,65,70,22.64,9.49,50.81,1607879624
San Clemente,US,60.01,43,27,3.44,33.43,-117.61,1607879709
Saint-Philippe,RE,75.2,94,75,18.34,-21.36,55.77,1607879698
Bethel,US,57.99,76,1,10.29,41.37,-73.41,1607879629
Ayan,RU,-9.6,93,100,27.51,56.45,138.17,1607879889
Inhambane,MZ,82.4,78,40,11.41,-23.86,35.38,1607879746
Thompson,CA,-9.4,76,40,9.17,55.74,-97.86,1607879639
Tsogni,GA,77.56,86,57,8.93,-2.79,10.1,1607879889
Hobart,AU,60.8,59,29,13.87,-42.88,147.33,1607879615
Vanimo,PG,80.08,83,100,8.41,-2.67,141.3,1607879674
Sungai Raya,ID,77.77,83,100,1.59,0.7,108.9,1607879890
Pizarro,CO,82.4,77,98,2.98,4.95,-77.37,1607879890
Waingapu,ID,79.61,80,100,5.1,-9.66,120.26,1607879890
Tarauacá,BR,93.94,40,5,4.74,-8.16,-70.77,1607879890
San Jose,US,55.4,87,90,11.41,37.34,-121.89,1607879866
Bubaque,GW,82.71,57,5,11.05,11.28,-15.83,1607879672
Clyde River,CA,-2.2,84,90,8.05,70.47,-68.59,1607879674
Chilliwack,CA,41.0,60,100,5.82,49.17,-121.94,1607879705
Avenal,US,52.0,87,95,3.0,36.0,-120.13,1607879833
Te Anau,NZ,40.15,90,20,0.98,-45.42,167.72,1607879891
New Norfolk,AU,60.8,59,8,13.87,-42.78,147.06,1607879628
Shelburne,CA,30.0,100,88,14.99,44.08,-80.2,1607879797
Turinsk,RU,14.86,90,32,10.16,58.05,63.7,1607879891
Jimma,ET,62.96,51,58,0.22,7.67,36.83,1607879891
Novy Urengoy,RU,9.0,94,100,12.1,66.08,76.63,1607879892
Jimo,CN,27.0,58,0,11.18,36.39,120.46,1607879892
Kununurra,AU,82.4,88,40,2.24,-15.77,128.73,1607879656
Viana,BR,86.0,62,0,16.11,-20.39,-40.5,1607879892
São Filipe,CV,76.46,67,100,6.29,14.9,-24.5,1607879624
